2018-06-07 20:03:17,b'Quick look at the Visions Vid :)\n@brutalruinmusic @irockme69 @Talentlotto @unionjackradio @MetalHammer @RepYoState\xe2\x80\xa6 https://t.co/m1KDxvgedG'
2018-06-07 20:00:53,"b'So, Donald, what additional  insults are you going to give Un before the meeting is cancelled?What a macabre act yo\xe2\x80\xa6 https://t.co/H7QjLc1aI1'"
2018-06-07 20:00:11,"b'Associate Of Joseph Mifsud, Described By EU Parliament As ""Reliable Ally"" To #GeorgeSoros  https://t.co/eSVu4yMSmS\xe2\x80\xa6 https://t.co/qo91mOKkc1'"
2018-06-07 19:59:08,"b'#sad #realDonaldTrump #faketweets: RT WhiteHouse: ""There has never been a better time to invest in the United State\xe2\x80\xa6 https://t.co/00FOGQaBzF'"
2018-06-07 19:57:29,"b'Donald, you are the one with shit in your mouth...Bolton, Pence and Gulliani, your ""Three Stooges"" would not say su\xe2\x80\xa6 https://t.co/Aek5UFGrPS'"
2018-06-07 19:57:05,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 19:54:11,"b""RT @Nurse_Mom01: ON Father's Day treat yourself + ur family with this. Visit my store. There's more. \xf0\x9f\x99\x82\nOrder Here: https://t.co/zFZa0y3gqD\xe2\x80\xa6"""
2018-06-07 19:54:07,"b'#sad #realDonaldTrump #faketweets: RT realDonaldTrump: Today, I am greatly honored to welcome my good friend, PM Ab\xe2\x80\xa6 https://t.co/44QSvNi37v'"
2018-06-07 19:54:07,"b'#sad #realDonaldTrump #faketweets: Today, I am greatly honored to welcome my good friend, PM Abe of Japan to the Wh\xe2\x80\xa6 https://t.co/qxNljMU3H1'"
2018-06-07 19:54:06,"b'#sad #realDonaldTrump #faketweets: RT WhiteHouse: For many, opioid addiction begins early. This ad campaign from ON\xe2\x80\xa6 https://t.co/OWQTzvpePq'"
2018-06-07 19:53:55,b'#realDonaldTrump Does this moron know that it was the British and not the Canadians who burned the White House in 1\xe2\x80\xa6 https://t.co/WmL0y81tEZ'
2018-06-07 19:51:14,b'RT @EthelMertiz: #realDonaldTrump  https://t.co/UWqtFTJq94 Trump tells another lie. OMG what is it about this idiot? Everything out of his\xe2\x80\xa6'
2018-06-07 19:48:04,"b'Leader Kim Jong Un, listening?President Trump has alerted his security that he will be playing a round of golf in F\xe2\x80\xa6 https://t.co/Ix9uBvj3bK'"
2018-06-07 19:43:03,"b'Former Head of DNC Aided &amp; Abetted Muslim IT Spy, Imran Awan - https://t.co/2gWkyc1ckN #Leverage\xe2\x80\xa6 https://t.co/VjXmlR8N0i'"
2018-06-07 19:43:00,"b""ON Father's Day treat yourself + ur family with this. Visit my store. There's more. \xf0\x9f\x99\x82\nOrder Here:\xe2\x80\xa6 https://t.co/PgkITQExEV"""
2018-06-07 19:41:35,"b""RT @Nurse_Mom01: ON Father's Day treat yourself + ur family with this. Visit my store. There's more. \xf0\x9f\x99\x82\nOrder Here: https://t.co/QLWclvZTFL\xe2\x80\xa6"""
2018-06-07 19:41:28,"b""ON Father's Day treat yourself + ur family with this. Visit my store. There's more. \xf0\x9f\x99\x82\nOrder Here:\xe2\x80\xa6 https://t.co/JS35CqsSlP"""
2018-06-07 19:41:22,"b""ON Father's Day treat yourself + ur family with this. Visit my store. There's more. \xf0\x9f\x99\x82\nOrder Here:\xe2\x80\xa6 https://t.co/lxoYz0Mf0H"""
2018-06-07 19:41:17,"b""ON Father's Day treat yourself + ur family with this. Visit my store. There's more. \xf0\x9f\x99\x82\nOrder Here:\xe2\x80\xa6 https://t.co/DBEDx8dENX"""
2018-06-07 19:40:36,"b'So sick of these spoiled, coddled, multi-millionaire sports athletes like #DevanteSmithPelly #LeBronJames &amp; others\xe2\x80\xa6 https://t.co/jEO6hvORfW'"
2018-06-07 19:39:10,b'#sad #realDonaldTrump #faketweets: RT FLOTUS: Proud of this administration\xe2\x80\x99s continued efforts in combatting opioid\xe2\x80\xa6 https://t.co/7kqtwpLxPa'
2018-06-07 19:36:05,b'#NoOneAboveTheLaw\n@OregonDHSCW you bet we are coming for you! #FamilyPreservation #KeepFamilyHome\xe2\x80\xa6 https://t.co/hiF48KHc5e'
2018-06-07 19:34:27,b'#sad #realDonaldTrump #faketweets: RT VP: POWERFUL new video from ONDCP on the #OpioidEpidemic that has touched nea\xe2\x80\xa6 https://t.co/DTuJZKH5nU'
2018-06-07 19:30:54,b'RT @pmchaffie: every person on twitter should view this now https://t.co/Loy8C0XCis #realdonaldtrump'
2018-06-07 19:30:52,b'#realDonaldTrump  https://t.co/UWqtFTJq94 Trump tells another lie. OMG what is it about this idiot? Everything out of his mouth is a lie!'
2018-06-07 19:28:50,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 19:28:35,b'@realDonaldTrump @POTUS #POTUS @WhiteHouse #Whitehouse @MaxineWaters #MaxineWaters @RepMaxineWaters\xe2\x80\xa6 https://t.co/6dzxMw6hVF'
2018-06-07 19:28:28,b'every person on twitter should view this now https://t.co/Loy8C0XCis #realdonaldtrump'
